id_viatge	dia_setmana	franja	estacio_any	tipus_servei	num_parades	dist_km	ocupacio	vent	pluja	visibilitat	retard_min	puntualitat
108	dg	migdia	estiu	mitja_distancia	4	1297	baixa	cap	cap	bona	2	puntual
109	dg	nit	estiu	regional	11	588	mitjana	cap	febla	bona	1	puntual
110	dl	mati	tardor	alta_velocitat	3	3499	alta	cap	cap	bona	3	puntual
111	ds	mati	primavera	regional	7	150	baixa	fort	intensa	bona	11	tard
112	dg	migdia	tardor	regional	8	942	mitjana	cap	cap	bona	3	puntual
113	dt	tarda	estiu	mitja_distancia	5	1344	mitjana	moderat	cap	bona	5	puntual
114	dt	nit	estiu	mitja_distancia	4	150	alta	cap	cap	bona	4	puntual
115	dv	nit	estiu	mitja_distancia	5	2381	baixa	moderat	cap	bona	3	puntual
116	dg	mati	estiu	mitja_distancia	2	1545	alta	moderat	febla	bona	3	puntual
117	dt	mati	hivern	regional	12	242	mitjana	cap	cap	bona	6	tard
118	dv	tarda	hivern	mitja_distancia	3	2140	mitjana	moderat	cap	bona	8	tard
119	dl	mati	primavera	regional	8	492	baixa	cap	cap	bona	4	puntual
120	dt	nit	hivern	regional	3	351	mitjana	moderat	febla	bona	28	molt_tard
121	dt	tarda	estiu	regional	10	610	mitjana	cap	cap	regular	9	tard
122	dl	mati	tardor	regional	11	798	mitjana	cap	intensa	bona	3	puntual
123	dc	tarda	estiu	regional	9	262	mitjana	fort	febla	bona	4	puntual
124	ds	mati	estiu	mitja_distancia	6	1652	mitjana	moderat	cap	bona	0	puntual
125	dg	migdia	tardor	regional	7	597	mitjana	cap	febla	regular	5	puntual
126	ds	tarda	estiu	regional	12	150	baixa	fort	intensa	bona	10	tard
127	dc	migdia	hivern	mitja_distancia	3	1981	mitjana	cap	cap	bona	2	puntual
128	dt	tarda	tardor	regional	7	768	baixa	cap	cap	bona	7	tard
129	dt	tarda	estiu	mitja_distancia	5	1570	alta	moderat	cap	bona	15	tard
130	dc	nit	estiu	alta_velocitat	1	4844	alta	cap	cap	regular	1	puntual
131	ds	nit	estiu	regional	12	376	baixa	cap	cap	bona	9	tard
132	dt	migdia	estiu	alta_velocitat	2	3985	baixa	moderat	febla	bona	0	puntual
133	dl	mati	hivern	regional	6	823	baixa	cap	cap	bona	0	puntual
134	dj	tarda	estiu	regional	9	533	mitjana	cap	cap	dolenta	3	puntual
135	ds	nit	tardor	mitja_distancia	7	952	alta	cap	cap	regular	8	tard
136	dl	migdia	primavera	mitja_distancia	9	1384	mitjana	moderat	cap	regular	11	tard
137	ds	migdia	estiu	alta_velocitat	3	4856	baixa	cap	cap	regular	13	tard
138	dg	migdia	hivern	regional	8	248	baixa	cap	cap	regular	24	molt_tard
139	dc	mati	primavera	mitja_distancia	6	1153	baixa	moderat	cap	bona	2	puntual
140	dl	tarda	estiu	regional	4	150	alta	cap	cap	bona	5	puntual
141	dj	migdia	hivern	regional	10	947	mitjana	cap	cap	bona	0	puntual
142	dj	tarda	primavera	regional	6	562	mitjana	moderat	intensa	dolenta	39	molt_tard
143	dv	tarda	primavera	alta_velocitat	3	2899	mitjana	moderat	cap	bona	3	puntual
144	dv	tarda	primavera	regional	13	564	alta	cap	cap	bona	2	puntual
145	dl	migdia	hivern	alta_velocitat	3	3978	mitjana	moderat	cap	bona	0	puntual
146	ds	migdia	tardor	mitja_distancia	6	1036	alta	moderat	febla	bona	0	puntual
147	dl	tarda	hivern	mitja_distancia	6	1897	alta	cap	cap	bona	2	puntual
148	dj	tarda	primavera	mitja_distancia	7	1533	mitjana	moderat	cap	bona	13	tard
149	dl	migdia	tardor	alta_velocitat	3	6018	alta	moderat	cap	bona	14	tard
150	dc	nit	hivern	regional	10	936	baixa	moderat	cap	bona	9	tard
151	dg	mati	tardor	regional	7	921	mitjana	cap	cap	bona	3	puntual
152	dg	nit	primavera	mitja_distancia	6	1686	baixa	moderat	cap	bona	8	tard
153	dl	mati	hivern	regional	11	787	mitjana	fort	cap	bona	10	tard
154	dv	mati	primavera	regional	11	681	baixa	cap	intensa	bona	3	puntual
155	dg	migdia	estiu	regional	11	509	baixa	moderat	cap	bona	0	puntual
156	ds	mati	estiu	regional	11	904	baixa	moderat	febla	bona	5	puntual
157	dg	mati	hivern	regional	11	684	mitjana	moderat	cap	regular	0	puntual
158	dc	mati	estiu	regional	9	426	mitjana	fort	cap	regular	14	tard
159	dv	migdia	estiu	alta_velocitat	1	4561	mitjana	cap	cap	bona	0	puntual
160	dt	tarda	tardor	regional	5	769	mitjana	cap	cap	bona	0	puntual
161	dt	mati	hivern	alta_velocitat	3	3686	alta	cap	cap	bona	13	tard
162	dg	tarda	estiu	alta_velocitat	3	3323	alta	cap	febla	bona	5	puntual
163	dv	tarda	primavera	regional	6	667	baixa	cap	cap	bona	17	molt_tard
164	dj	mati	primavera	mitja_distancia	5	2112	mitjana	moderat	cap	regular	0	puntual
165	dl	mati	estiu	mitja_distancia	6	3058	mitjana	moderat	cap	regular	0	puntual
166	ds	nit	tardor	mitja_distancia	4	1156	mitjana	cap	cap	bona	1	puntual
167	dl	tarda	primavera	regional	7	937	mitjana	moderat	cap	bona	16	molt_tard
168	dg	migdia	primavera	regional	11	309	mitjana	cap	cap	regular	0	puntual
169	ds	tarda	primavera	regional	10	546	baixa	cap	cap	bona	1	puntual
170	dj	mati	hivern	mitja_distancia	7	2315	mitjana	cap	cap	regular	0	puntual
171	ds	migdia	hivern	alta_velocitat	1	7075	mitjana	cap	cap	bona	0	puntual
172	dg	tarda	hivern	mitja_distancia	6	1350	mitjana	cap	cap	bona	0	puntual
173	dj	mati	tardor	mitja_distancia	11	3044	alta	moderat	cap	regular	9	tard
174	dg	tarda	tardor	alta_velocitat	1	5746	baixa	moderat	cap	regular	1	puntual
175	dv	migdia	tardor	mitja_distancia	4	1427	baixa	cap	febla	bona	0	puntual
176	dc	tarda	estiu	regional	13	454	baixa	cap	intensa	bona	38	molt_tard
177	dv	migdia	tardor	alta_velocitat	2	3907	baixa	cap	cap	bona	4	puntual
178	dv	migdia	hivern	regional	4	844	baixa	fort	cap	bona	26	molt_tard
179	dt	mati	tardor	regional	5	663	mitjana	moderat	febla	regular	39	molt_tard
180	dc	mati	estiu	mitja_distancia	5	1638	mitjana	cap	cap	bona	2	puntual
181	dt	tarda	hivern	alta_velocitat	3	3434	mitjana	cap	cap	dolenta	23	molt_tard
182	dt	mati	hivern	regional	8	705	mitjana	cap	cap	bona	0	puntual
183	dt	mati	estiu	mitja_distancia	4	2004	baixa	moderat	cap	bona	0	puntual
184	dv	mati	tardor	regional	8	820	mitjana	cap	intensa	regular	10	tard
185	dl	mati	estiu	regional	6	529	baixa	cap	febla	bona	10	tard
186	dj	tarda	estiu	regional	14	590	alta	cap	intensa	bona	15	tard
187	dg	migdia	primavera	mitja_distancia	4	1765	baixa	cap	febla	regular	3	puntual
188	dt	nit	primavera	alta_velocitat	2	5303	mitjana	cap	cap	bona	1	puntual
189	ds	mati	primavera	regional	7	721	alta	cap	febla	dolenta	17	molt_tard
190	dl	tarda	primavera	regional	7	970	mitjana	moderat	cap	bona	0	puntual
191	dg	migdia	tardor	regional	5	999	mitjana	cap	cap	bona	2	puntual
192	dt	migdia	estiu	regional	13	577	mitjana	cap	cap	bona	6	tard
193	dg	nit	estiu	mitja_distancia	12	1892	baixa	cap	cap	bona	2	puntual
194	dt	nit	primavera	mitja_distancia	7	1652	mitjana	cap	cap	bona	11	tard
195	dc	nit	hivern	mitja_distancia	3	2848	alta	moderat	cap	bona	2	puntual
196	ds	mati	hivern	regional	6	241	alta	fort	cap	bona	4	puntual
197	dt	mati	primavera	mitja_distancia	2	2247	mitjana	cap	cap	bona	0	puntual
198	dj	tarda	hivern	regional	10	799	mitjana	moderat	cap	bona	8	tard
199	dg	mati	primavera	regional	12	1154	mitjana	moderat	cap	bona	11	tard
200	dj	tarda	hivern	alta_velocitat	4	4637	mitjana	moderat	cap	bona	15	tard
201	dc	tarda	primavera	mitja_distancia	5	2096	baixa	cap	cap	bona	0	puntual
202	dv	tarda	tardor	alta_velocitat	2	2826	baixa	cap	intensa	bona	4	puntual
203	dl	tarda	estiu	alta_velocitat	3	4152	baixa	cap	cap	bona	1	puntual
204	ds	tarda	tardor	mitja_distancia	6	626	mitjana	fort	cap	dolenta	17	molt_tard
205	dl	mati	estiu	alta_velocitat	3	4234	baixa	moderat	cap	bona	0	puntual
206	dt	mati	primavera	regional	9	1057	baixa	cap	febla	bona	6	tard
207	dl	tarda	tardor	regional	3	423	baixa	cap	cap	bona	12	tard
208	ds	migdia	hivern	regional	6	822	alta	cap	cap	bona	4	puntual
209	dl	mati	primavera	regional	13	867	baixa	cap	cap	regular	3	puntual
210	dg	migdia	tardor	regional	10	264	baixa	moderat	febla	bona	2	puntual
211	dg	tarda	primavera	regional	12	973	mitjana	cap	intensa	bona	5	puntual
212	dv	tarda	tardor	mitja_distancia	4	647	baixa	moderat	cap	bona	0	puntual
213	dc	tarda	tardor	mitja_distancia	8	1096	alta	moderat	cap	bona	0	puntual
214	ds	migdia	estiu	mitja_distancia	2	2027	alta	moderat	cap	bona	0	puntual
215	dv	mati	tardor	regional	11	575	mitjana	moderat	cap	bona	2	puntual
216	dj	migdia	primavera	mitja_distancia	7	1881	mitjana	cap	febla	bona	0	puntual
217	dc	migdia	hivern	regional	5	559	mitjana	moderat	intensa	regular	11	tard
218	dc	tarda	hivern	regional	9	646	baixa	moderat	intensa	bona	6	tard
219	dv	tarda	estiu	regional	11	804	baixa	cap	febla	bona	2	puntual
220	dc	mati	tardor	regional	12	671	baixa	cap	cap	dolenta	17	molt_tard
221	dg	mati	hivern	regional	4	556	baixa	cap	intensa	bona	9	tard
222	dl	mati	estiu	alta_velocitat	3	4772	mitjana	cap	cap	bona	2	puntual
223	dg	nit	tardor	mitja_distancia	3	2073	baixa	cap	cap	bona	8	tard
224	ds	tarda	primavera	mitja_distancia	8	2785	baixa	cap	cap	bona	27	molt_tard
225	dg	mati	tardor	regional	6	578	mitjana	moderat	cap	bona	3	puntual
226	dt	nit	primavera	alta_velocitat	1	5493	mitjana	cap	febla	bona	22	molt_tard
227	dj	migdia	tardor	mitja_distancia	5	3044	baixa	cap	intensa	bona	19	molt_tard
228	dj	migdia	estiu	regional	8	1080	baixa	cap	febla	bona	0	puntual
229	ds	nit	estiu	mitja_distancia	5	2669	baixa	cap	febla	bona	1	puntual
230	dj	mati	primavera	mitja_distancia	9	1810	baixa	fort	cap	bona	17	molt_tard
231	dj	mati	estiu	regional	12	816	alta	cap	cap	bona	2	puntual
232	dg	tarda	tardor	regional	9	528	alta	cap	febla	dolenta	27	molt_tard
233	dc	mati	hivern	mitja_distancia	5	2487	mitjana	cap	cap	bona	0	puntual
234	ds	tarda	tardor	regional	8	793	mitjana	cap	febla	regular	0	puntual
235	dg	mati	estiu	regional	9	701	mitjana	moderat	cap	bona	0	puntual
236	ds	mati	tardor	regional	8	453	mitjana	moderat	cap	bona	4	puntual
237	dg	mati	estiu	alta_velocitat	2	4374	baixa	cap	cap	bona	1	puntual
238	ds	migdia	estiu	regional	12	1043	baixa	moderat	cap	bona	3	puntual
239	dc	mati	primavera	regional	6	722	mitjana	cap	febla	bona	0	puntual
240	dg	mati	estiu	regional	14	444	mitjana	moderat	intensa	bona	19	molt_tard
241	dv	nit	hivern	alta_velocitat	3	2988	baixa	cap	cap	regular	0	puntual
242	ds	migdia	estiu	mitja_distancia	6	1999	baixa	cap	cap	bona	2	puntual
243	dt	migdia	hivern	alta_velocitat	1	2997	mitjana	moderat	cap	bona	3	puntual
244	dt	mati	estiu	regional	6	513	baixa	moderat	cap	bona	8	tard
245	dl	migdia	estiu	regional	8	982	mitjana	cap	cap	regular	8	tard
246	dv	mati	hivern	mitja_distancia	7	1512	mitjana	fort	cap	bona	10	tard
247	ds	tarda	tardor	regional	7	817	mitjana	moderat	cap	bona	0	puntual
248	dg	mati	estiu	alta_velocitat	1	5282	baixa	cap	cap	bona	9	tard
249	dc	nit	tardor	alta_velocitat	2	5606	baixa	moderat	cap	bona	19	molt_tard
250	dj	nit	hivern	mitja_distancia	5	1774	alta	moderat	febla	bona	9	tard
251	dv	mati	primavera	alta_velocitat	1	2727	mitjana	cap	cap	bona	0	puntual
252	dl	mati	estiu	mitja_distancia	8	1380	baixa	cap	cap	regular	0	puntual
253	dl	mati	primavera	regional	4	410	baixa	moderat	febla	bona	2	puntual
254	dj	tarda	primavera	mitja_distancia	6	1300	alta	moderat	febla	bona	0	puntual
255	ds	mati	estiu	regional	8	564	mitjana	cap	febla	bona	4	puntual
256	ds	nit	hivern	alta_velocitat	4	5439	alta	cap	cap	bona	0	puntual
257	dv	tarda	tardor	regional	4	1151	mitjana	cap	cap	bona	3	puntual
258	dv	tarda	hivern	regional	11	436	mitjana	moderat	febla	bona	15	tard
259	dc	migdia	primavera	mitja_distancia	9	1550	mitjana	moderat	cap	bona	2	puntual
260	dg	nit	estiu	regional	13	702	baixa	cap	cap	bona	7	tard
261	dv	mati	tardor	regional	12	911	mitjana	moderat	intensa	bona	1	puntual
262	dt	migdia	primavera	mitja_distancia	6	1573	mitjana	moderat	cap	dolenta	16	molt_tard
263	dg	migdia	primavera	regional	4	574	baixa	cap	febla	bona	0	puntual
264	dj	nit	hivern	mitja_distancia	8	2609	alta	cap	febla	bona	6	tard
265	dg	tarda	hivern	regional	12	564	mitjana	cap	cap	bona	18	molt_tard
266	dv	tarda	estiu	regional	3	492	baixa	cap	febla	bona	10	tard
267	dv	mati	estiu	regional	5	902	mitjana	cap	cap	bona	0	puntual
268	dc	nit	primavera	mitja_distancia	7	1692	alta	moderat	febla	bona	15	tard
269	dt	migdia	estiu	alta_velocitat	4	4663	alta	moderat	febla	bona	2	puntual
270	dl	migdia	estiu	regional	10	795	mitjana	cap	febla	bona	3	puntual
271	dv	nit	primavera	alta_velocitat	3	3251	alta	moderat	cap	bona	12	tard
272	dj	migdia	hivern	mitja_distancia	10	972	alta	moderat	febla	bona	6	tard
273	dt	migdia	hivern	mitja_distancia	6	1029	alta	cap	febla	regular	0	puntual
274	dt	tarda	hivern	mitja_distancia	5	1075	alta	cap	cap	bona	0	puntual
275	dl	mati	estiu	mitja_distancia	5	1807	mitjana	moderat	cap	bona	0	puntual
276	dj	migdia	estiu	alta_velocitat	3	5573	mitjana	moderat	cap	bona	0	puntual
277	dv	mati	estiu	mitja_distancia	6	1545	mitjana	cap	febla	bona	3	puntual
278	dl	mati	tardor	mitja_distancia	9	2471	mitjana	moderat	cap	bona	11	tard
279	dv	nit	hivern	regional	6	365	baixa	moderat	cap	bona	7	tard
280	dv	tarda	hivern	regional	10	769	mitjana	moderat	febla	bona	0	puntual
281	dv	migdia	primavera	mitja_distancia	8	1222	alta	moderat	intensa	bona	22	molt_tard
282	dv	migdia	estiu	regional	12	427	mitjana	cap	intensa	bona	16	molt_tard
283	dt	migdia	tardor	regional	5	782	alta	cap	cap	bona	6	tard
284	dg	tarda	estiu	regional	7	518	mitjana	cap	cap	bona	3	puntual
285	dc	nit	estiu	regional	8	690	baixa	moderat	cap	regular	1	puntual
286	dt	nit	hivern	mitja_distancia	3	1170	baixa	moderat	cap	bona	2	puntual
287	dv	migdia	hivern	mitja_distancia	7	2102	mitjana	moderat	febla	dolenta	8	tard
288	dl	migdia	estiu	regional	9	676	mitjana	cap	cap	regular	21	molt_tard
289	dj	migdia	estiu	regional	9	495	mitjana	cap	cap	bona	2	puntual
290	dg	tarda	estiu	regional	12	1285	mitjana	cap	cap	bona	2	puntual
291	dc	migdia	tardor	regional	7	578	mitjana	cap	cap	regular	0	puntual
292	dt	tarda	primavera	mitja_distancia	9	227	mitjana	cap	febla	bona	1	puntual
293	dl	tarda	hivern	mitja_distancia	5	2233	alta	moderat	febla	bona	2	puntual
294	dv	migdia	primavera	mitja_distancia	4	1013	mitjana	cap	cap	bona	12	tard
295	dv	migdia	estiu	mitja_distancia	6	2044	mitjana	moderat	cap	bona	4	puntual
296	dj	migdia	estiu	alta_velocitat	3	5030	mitjana	fort	cap	regular	11	tard
297	dv	mati	tardor	mitja_distancia	7	2332	alta	moderat	cap	bona	0	puntual
298	dt	mati	estiu	mitja_distancia	2	2256	baixa	cap	febla	regular	1	puntual
299	dl	tarda	primavera	mitja_distancia	6	1121	baixa	moderat	cap	bona	0	puntual
300	dc	migdia	hivern	regional	14	920	baixa	moderat	cap	bona	2	puntual
301	dt	mati	primavera	alta_velocitat	2	4003	mitjana	cap	febla	bona	6	tard
302	dc	tarda	tardor	regional	11	161	mitjana	moderat	cap	dolenta	0	puntual
303	ds	tarda	hivern	regional	17	512	mitjana	moderat	cap	regular	1	puntual
304	dl	mati	tardor	alta_velocitat	5	3313	mitjana	cap	cap	regular	2	puntual
305	dv	tarda	estiu	mitja_distancia	4	2212	baixa	cap	cap	bona	2	puntual
306	dv	nit	hivern	regional	11	708	mitjana	cap	cap	bona	6	tard
307	dl	tarda	primavera	regional	11	594	alta	cap	febla	bona	2	puntual
308	dt	tarda	estiu	regional	10	854	baixa	moderat	febla	regular	0	puntual
309	ds	mati	primavera	mitja_distancia	4	1791	baixa	cap	cap	bona	4	puntual
310	dg	nit	hivern	regional	9	631	baixa	cap	cap	bona	0	puntual
311	dl	migdia	tardor	alta_velocitat	3	1949	mitjana	cap	cap	bona	2	puntual
312	dc	nit	tardor	alta_velocitat	1	4084	baixa	cap	cap	bona	0	puntual
313	dj	tarda	hivern	mitja_distancia	6	1617	mitjana	cap	cap	bona	1	puntual
314	dg	mati	primavera	mitja_distancia	7	2862	mitjana	moderat	cap	bona	4	puntual
315	dl	mati	primavera	regional	8	909	mitjana	cap	cap	bona	4	puntual
316	dv	tarda	estiu	regional	11	182	mitjana	cap	intensa	bona	0	puntual
317	dc	tarda	tardor	mitja_distancia	6	1438	baixa	moderat	febla	bona	0	puntual
318	dt	mati	tardor	regional	9	387	alta	fort	cap	bona	4	puntual
319	dt	tarda	hivern	regional	11	916	mitjana	cap	febla	bona	1	puntual
320	dc	nit	tardor	regional	14	1047	mitjana	cap	cap	bona	0	puntual
321	dl	migdia	primavera	regional	5	150	baixa	cap	febla	bona	13	tard
322	dg	migdia	hivern	regional	10	198	mitjana	cap	cap	bona	6	tard
323	dc	mati	estiu	mitja_distancia	5	1419	alta	cap	cap	bona	3	puntual
324	dl	tarda	hivern	alta_velocitat	3	3940	baixa	moderat	cap	regular	2	puntual
325	dl	migdia	hivern	mitja_distancia	3	983	baixa	moderat	cap	bona	0	puntual
326	dc	nit	primavera	alta_velocitat	4	4202	baixa	cap	cap	bona	0	puntual
